,ticker,name,market,locale,active,source_feed
60,I:APRWIV,AllianzIM U.S. Large Cap Buffer20 Apr ETF Intraday Indicative Value,indices,us,True,CboeGlobalIndicesINAV
61,I:APRZIV,TrueShares Structured Outcome (April) ETF Intraday Indicative Value,indices,us,True,CboeGlobalIndicesINAV
62,I:ATDOW,Dow Jones Austria Index,indices,us,True,CMEMarketDataPlatformDowJones
63,I:ATDOWD,Dow Jones Austria Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
64,I:ATOM150,Cboe 150 Cosmos / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
65,I:ATOM300,Cboe 300 Cosmos / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
66,I:ATOM600,Cboe 600 Cosmos / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
67,I:ATOM75RP,Cboe 75 Cosmos / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
68,I:AUAC,,indices,us,True,NasdaqGIDS
69,I:AUACGL,,indices,us,True,NasdaqGIDS
70,I:AUACT,,indices,us,True,NasdaqGIDS
71,I:AUDOWD,Dow Jones Australia Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
72,I:AUGTIV,,indices,us,True,CboeGlobalIndicesINAV
73,I:AUGWIV,,indices,us,True,CboeGlobalIndicesINAV
74,I:AUGZIV,TrueShares Structured Outcome (August) ETF Intraday Indicative Value,indices,us,True,CboeGlobalIndicesINAV
75,I:AVCHQYLD,Alpha Vee Quality Yield,indices,us,True,CboeGlobalIndicesMain
76,I:AVGRNTSP,Alpha Vee Green Transportation,indices,us,True,CboeGlobalIndicesMain
77,I:AVRMENEQ,Alpha Vee Risk Managed Enhanced US Equity,indices,us,True,CboeGlobalIndicesMain
78,I:AVT5EQTB,Alpha Vee Risk Managed Top 5 Sector Equities & Treasury Bonds,indices,us,True,CboeGlobalIndicesMain
79,I:AVT5ETTB,Alpha Vee Risk Managed Top 5 Sector ETFs & Treasuries,indices,us,True,CboeGlobalIndicesMain
80,I:AVT5SMAL,,indices,us,True,CboeGlobalIndicesMain
81,I:AVT5SMID,Alpha Vee Risk Managed SMID Top 5 Sector Equities,indices,us,True,CboeGlobalIndicesMain
82,I:AVUSMEGA,Alpha Vee US Mega Cap,indices,us,True,CboeGlobalIndicesMain
83,I:B10GI,OMX Baltic Technology GI,indices,us,True,NasdaqGIDS
84,I:B10PI,OMX Baltic Technology PI,indices,us,True,NasdaqGIDS
85,I:B15GI,OMX Baltic Telecommunications GI,indices,us,True,NasdaqGIDS
86,I:B15PI,OMX Baltic Telecommunications PI,indices,us,True,NasdaqGIDS
87,I:B20GI,OMX Baltic Health Care GI,indices,us,True,NasdaqGIDS
88,I:B20PI,OMX Baltic Health Care PI,indices,us,True,NasdaqGIDS
89,I:B3010GI,OMX Baltic Banks GI,indices,us,True,NasdaqGIDS
90,I:B3010PI,OMX Baltic Banks PI,indices,us,True,NasdaqGIDS
91,I:B3020GI,OMX Baltic Financial Services GI,indices,us,True,NasdaqGIDS
92,I:B3020PI,OMX Baltic Financial Services PI,indices,us,True,NasdaqGIDS
93,I:B30GI,OMX Baltic Financials GI,indices,us,True,NasdaqGIDS
94,I:B30PI,OMX Baltic Financials PI,indices,us,True,NasdaqGIDS
95,I:B35GI,OMX Baltic Real Estate GI,indices,us,True,NasdaqGIDS
96,I:B35PI,OMX Baltic Real Estate PI,indices,us,True,NasdaqGIDS
97,I:B4020GI,OMX Baltic Consumer Products and Services GI,indices,us,True,NasdaqGIDS
98,I:B4020PI,OMX Baltic Consumer Products and Services PI,indices,us,True,NasdaqGIDS
99,I:B4030GI,OMX Baltic Media GI,indices,us,True,NasdaqGIDS
100,I:B4030PI,OMX Baltic Media PI,indices,us,True,NasdaqGIDS
101,I:B4040GI,OMX Baltic Retail GI,indices,us,True,NasdaqGIDS
102,I:B4040PI,OMX Baltic Retail PI,indices,us,True,NasdaqGIDS
103,I:B4050GI,OMX Baltic Travel and Leisure GI,indices,us,True,NasdaqGIDS
104,I:B4050PI,OMX Baltic Travel and Leisure PI,indices,us,True,NasdaqGIDS
105,I:B40GI,OMX Baltic Consumer Discretionary GI,indices,us,True,NasdaqGIDS
106,I:B40PI,OMX Baltic Consumer Discretionary PI,indices,us,True,NasdaqGIDS
107,I:B4510GI,"OMX Baltic Food, Beverage and Tobacco  GI",indices,us,True,NasdaqGIDS
108,I:B4510PI,"OMX Baltic Food, Beverage and Tobacco  PI",indices,us,True,NasdaqGIDS
109,I:B45GI,OMX Baltic Consumer Staples GI,indices,us,True,NasdaqGIDS
110,I:B45PI,OMX Baltic Consumer Staples PI,indices,us,True,NasdaqGIDS
111,I:B5010GI,OMX Baltic Construction and Materials GI,indices,us,True,NasdaqGIDS
112,I:B5010PI,OMX Baltic Construction and Materials PI,indices,us,True,NasdaqGIDS
113,I:B5020GI,OMX Baltic Industrial Goods and Services GI,indices,us,True,NasdaqGIDS
114,I:B5020PI,OMX Baltic Industrial Goods and Services PI,indices,us,True,NasdaqGIDS
115,I:B50BRD,Dow Jones BRIC Brazil 15 Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
116,I:B50BRE,Dow Jones BRIC Brazil 15 Index (EUR),indices,us,True,CMEMarketDataPlatformDowJones
117,I:B50CND,Dow Jones BRIC China 15 Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
118,I:B50CNE,Dow Jones BRIC China 15 Index (EUR),indices,us,True,CMEMarketDataPlatformDowJones
119,I:B50GI,OMX Baltic Industrials GI,indices,us,True,NasdaqGIDS
120,I:B50IND,Dow Jones BRIC India 15 Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
121,I:B50INE,Dow Jones BRIC India 15 Index (EUR),indices,us,True,CMEMarketDataPlatformDowJones
122,I:B50PI,OMX Baltic Industrials PI,indices,us,True,NasdaqGIDS
123,I:B5510GI,OMX Baltic Basic Resources GI,indices,us,True,NasdaqGIDS
124,I:B5510PI,OMX Baltic Basic Resources PI,indices,us,True,NasdaqGIDS
125,I:B55GI,OMX Baltic Basic Materials GI,indices,us,True,NasdaqGIDS
126,I:B55PI,OMX Baltic Basic Materials PI,indices,us,True,NasdaqGIDS
127,I:B65GI,OMX Baltic Utilities GI,indices,us,True,NasdaqGIDS
128,I:B65PI,OMX Baltic Utilities PI,indices,us,True,NasdaqGIDS
129,I:BANK,Nasdaq Bank,indices,us,True,NasdaqGIDS
130,I:BANKT,Nasdaq Bank Total Return,indices,us,True,NasdaqGIDS
131,I:BAT100RP,Cboe 100 Basic Attention Token / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
132,I:BAT1KRP,Cboe 1000 Basic Attention Token / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
133,I:BAT200RP,Cboe 200 Basic Attention Token / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
134,I:BAT500RP,Cboe 500 Basic Attention Token / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
135,I:BCH100RP,Cboe 100 Bitcoin Cash / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
136,I:BCH10RP,Cboe 10 Bitcoin Cash / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
137,I:BCH1RP,Cboe 1 Bitcoin Cash / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
138,I:BCH20RP,Cboe 20 Bitcoin Cash / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
139,I:BCH40RP,Cboe 40 Bitcoin Cash / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
140,I:BCH5RP,Cboe 5 Bitcoin Cash / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
141,I:BCHBTC,Bitcoin Cash vs Bitcoin,indices,us,True,CboeGlobalIndicesCCCY
142,I:BCHUSD,Bitcoin Cash vs US Dollar,indices,us,True,CboeGlobalIndicesCCCY
143,I:BDEA,Cboe MSCI EAFE 20-Delta BuyWrite Index,indices,us,True,CboeGlobalIndicesMSCI
144,I:BDEF,Cboe MSCI Emerging Markets 20-Delta BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
145,I:BEDOW,Dow Jones Belgium Index,indices,us,True,CMEMarketDataPlatformDowJones
146,I:BEDOWD,Dow Jones Belgium Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
147,I:BETEIV,,indices,us,True,CboeGlobalIndicesINAV
148,I:BETHIV,,indices,us,True,CboeGlobalIndicesINAV
149,I:BEWELL,Nasdaq CTA Global Digital Health Index,indices,us,True,NasdaqGIDS
150,I:BEWELLAU,Nasdaq CTA Global Digital Health AUD Index,indices,us,True,NasdaqGIDS
151,I:BEWELLAUNR,Nasdaq CTA Global Digital Health Net Total Return AUD Index,indices,us,True,NasdaqGIDS
152,I:BEWELLAUTR,Nasdaq CTA Global Digital Health Gross Total Return AUD Index,indices,us,True,NasdaqGIDS
153,I:BEWELLNR,Nasdaq CTA Global Digital Health Net Total Return Index,indices,us,True,NasdaqGIDS
154,I:BEWELLTR,Nasdaq CTA Global Digital Health Gross Total Return Index,indices,us,True,NasdaqGIDS
155,I:BFLY,Cboe S&P 500 Iron Butterfly Index,indices,us,True,CboeGlobalIndicesMain
156,I:BFLYEA,Cboe MSCI EAFE Iron Butterfly Index,indices,us,True,CboeGlobalIndicesMain
157,I:BFLYEF,Cboe MSCI Emerging Markets Iron Butterfly Index,indices,us,True,CboeGlobalIndicesMSCI
158,I:BIBIV,PROSHARES ULTRA NASDAQ BIOTECHNOLOGY ETF,indices,us,True,CboeGlobalIndicesINAV
159,I:BIQ,ISE BICK Index,indices,us,True,NasdaqGIDS
160,I:BIQNTR,ISE BICK Net Total Return Index,indices,us,True,NasdaqGIDS
161,I:BIQTR,ISE BICK Total Return Index,indices,us,True,NasdaqGIDS
162,I:BISIV,PROSHARES ULTRASHORT NASDAQ BIOTECHNOLOGY ETF,indices,us,True,CboeGlobalIndicesINAV
163,I:BITIIV,ProShares Short Bitcoin Strategy ETF,indices,us,True,CboeGlobalIndicesINAV
164,I:BITOIV,ProShares Bitcoin Strategy ETF,indices,us,True,CboeGlobalIndicesINAV
165,I:BKX,KBW Nasdaq Bank Index,indices,us,True,NasdaqGIDS
166,I:BKXNTR,KBW Nasdaq Bank Net Total Return Index,indices,us,True,NasdaqGIDS
167,I:BKXTR,KBW Nasdaq Bank Total Return Index,indices,us,True,NasdaqGIDS
168,I:BLX,Bitcoin Liquid Index,indices,us,True,NasdaqGIDS
169,I:BNB100RP,Cboe 100 Binance Coin / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
170,I:BNB20RP,Cboe 20 Binance Coin / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
171,I:BNB400RP,Cboe 400 Binance Coin / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
172,I:BNB5RP,Cboe 5 Binance Coin / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
173,I:BNT200RP,Cboe 200 Bancor / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
174,I:BNT2KRP,Cboe 2000 Bancor / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
175,I:BNT500RP,Cboe 500 Bancor / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
176,I:BNT50RP,Cboe 50 Bancor / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
177,I:BOILIV,PROSHARES ULTRA BLOOMBERG NATURAL GAS ETF,indices,us,True,CboeGlobalIndicesINAV
